epoch,train_loss,train_acc,val_loss,val_acc
1,0.6462705206871032,0.615,0.45932834029197694,0.98
2,0.2688910001516342,0.96,0.0584806863963604,1.0
3,0.05573590889573097,0.9775,0.020795904248952866,1.0
4,0.036482782559469344,0.985,0.015321498007979243,1.0
5,0.027136496156454085,0.9875,0.016738243447616697,0.99
6,0.03303856935352087,0.985,0.07372221544384956,0.96
7,0.05477931567467749,0.9775,0.05467472158372402,0.98
8,0.06740247946698219,0.975,0.011805804264731705,1.0
9,0.02280266803689301,0.9875,0.011022134848171845,1.0
10,0.028643180280923844,0.985,0.019901234672870485,0.99
11,0.025363871678709984,0.9925,0.009598839299287646,1.0
12,0.01702599457465112,0.9925,0.013068337946897372,0.99
13,0.012285217642784119,0.9975,0.017280758016786423,0.99
14,0.03148436576942913,0.9875,0.01489580939291045,0.99
15,0.02404412274248898,0.9875,0.007477665512415115,1.0
16,0.01945878077298403,0.99,0.04611707472242415,0.98
17,0.04629750560037792,0.9825,0.057047443753108384,0.96
18,0.05992642275989055,0.9725,0.020525647555477918,0.99
19,0.036462683044373986,0.9875,0.009014375772094354,1.0
20,0.01902665016357787,0.9925,0.006427823962003459,1.0
